city,date,new_cases_raw,new_cases_7dayMA,new_deaths_raw,new_deaths_7dayMA,new_hosp_raw,new_hosp_7dayMA,pct_positive_7dayMA
Baltimore,2020-03-22,9,3,,,,,
Baltimore,2020-03-23,7,4,,,,,
Baltimore,2020-03-24,10,6,,,,,
Baltimore,2020-03-25,12,7,,,,,
Baltimore,2020-03-26,19,9,,,,,
Baltimore,2020-03-27,16,11,,,,,
Baltimore,2020-03-28,24,14,,,,,
Baltimore,2020-03-29,17,15,,,,,
Baltimore,2020-03-30,23,17,,,,,
Baltimore,2020-03-31,35,21,,,,,
Baltimore,2020-04-01,34,24,,,,,
Baltimore,2020-04-02,44,28,,,,,
Baltimore,2020-04-03,48,32,,,,,
Baltimore,2020-04-04,30,33,,,,,
Baltimore,2020-04-05,51,38,,,,,
Baltimore,2020-04-06,41,40,,,,,
Baltimore,2020-04-07,24,39,,,,,
Baltimore,2020-04-08,112,50,,,,,
Baltimore,2020-04-09,67,53,,,,,
Baltimore,2020-04-10,51,54,4,2,,,
Baltimore,2020-04-11,67,59,5,2,,,
Baltimore,2020-04-12,56,60,2,2,,,
Baltimore,2020-04-13,61,63,2,3,,,
Baltimore,2020-04-14,89,72,3,3,,,
Baltimore,2020-04-15,98,70,0,2,,,
Baltimore,2020-04-16,100,75,6,3,,,
Baltimore,2020-04-17,113,83,7,3,,,
Baltimore,2020-04-18,105,89,2,3,,,
Baltimore,2020-04-19,14,83,6,3,,,
Baltimore,2020-04-20,119,91,3,3,,,
Baltimore,2020-04-21,31,83,5,4,,,
Baltimore,2020-04-22,60,77,4,5,,,
Baltimore,2020-04-23,70,73,2,4,,,
Baltimore,2020-04-24,56,65,5,4,,,
Baltimore,2020-04-25,63,59,7,5,,,
Baltimore,2020-04-26,75,68,1,4,,,
Baltimore,2020-04-27,67,60,9,5,,,
Baltimore,2020-04-28,44,62,1,4,,,
Baltimore,2020-04-29,37,59,11,5,,,
Baltimore,2020-04-30,54,57,10,6,,,
Baltimore,2020-05-01,94,62,2,6,,,
Baltimore,2020-05-02,75,64,11,6,,,
Baltimore,2020-05-03,82,65,3,7,,,
Baltimore,2020-05-04,92,68,0,5,,,
Baltimore,2020-05-05,198,90,4,6,,,
Baltimore,2020-05-06,143,105,7,5,,,
Baltimore,2020-05-07,104,113,9,5,,,
Baltimore,2020-05-08,85,111,6,6,,,
Baltimore,2020-05-09,267,139,8,5,,,
Baltimore,2020-05-10,109,143,6,6,,,
Baltimore,2020-05-11,36,135,2,6,,,
Baltimore,2020-05-12,51,114,7,6,,,
Baltimore,2020-05-13,72,103,8,7,,,
Baltimore,2020-05-14,29,93,6,6,,,
Baltimore,2020-05-15,101,95,0,5,,,
Baltimore,2020-05-16,113,73,9,5,,,
Baltimore,2020-05-17,79,69,3,5,,,
Baltimore,2020-05-18,32,68,5,5,,,
Baltimore,2020-05-19,172,85,2,5,,,
Baltimore,2020-05-20,150,97,6,4,,,
Baltimore,2020-05-21,187,119,2,4,,,
Baltimore,2020-05-22,153,127,3,4,,,
Baltimore,2020-05-23,181,136,7,4,,,
Baltimore,2020-05-24,109,141,2,4,,,
Baltimore,2020-05-25,106,151,3,4,,,
Baltimore,2020-05-26,109,142,2,4,,,
Baltimore,2020-05-27,57,129,1,3,,,
Baltimore,2020-05-28,149,123,4,3,,,
Baltimore,2020-05-29,223,133,8,4,,,
Baltimore,2020-05-30,138,127,6,4,,,
Baltimore,2020-05-31,100,126,4,4,,,
Baltimore,2020-06-01,0,102,3,4,,,
Baltimore,2020-06-02,84,99,2,4,,,
Baltimore,2020-06-03,113,107,3,4,,,
Baltimore,2020-06-04,105,100,3,4,,,
Baltimore,2020-06-05,132,87,3,3,,,
Baltimore,2020-06-06,103,82,4,3,,,
Baltimore,2020-06-07,88,81,5,3,,,
Baltimore,2020-06-08,67,99,1,3,,,
Baltimore,2020-06-09,59,95,5,3,,,
Baltimore,2020-06-10,73,90,2,3,,,
Baltimore,2020-06-11,81,86,3,3,,,
Baltimore,2020-06-12,50,74,2,3,,,
Baltimore,2020-06-13,74,70,3,3,,,
Baltimore,2020-06-14,56,66,3,3,,,
Baltimore,2020-06-15,58,64,1,3,,,
Baltimore,2020-06-16,35,61,3,2,,,
Baltimore,2020-06-17,84,63,3,3,,,
Baltimore,2020-06-18,40,57,2,2,,,
Baltimore,2020-06-19,32,54,0,2,,,
Baltimore,2020-06-20,55,51,3,2,,,
Baltimore,2020-06-21,60,52,0,2,,,4.19
Baltimore,2020-06-22,42,50,3,2,,,4.02
Baltimore,2020-06-23,53,52,3,2,,,4.13
Baltimore,2020-06-24,62,49,6,2,,,4.29
Baltimore,2020-06-25,48,50,2,2,,,4.23
Baltimore,2020-06-26,41,52,3,3,,,4.24
Baltimore,2020-06-27,64,53,3,3,,,4.34
Baltimore,2020-06-28,53,52,2,3,,,4.35
Baltimore,2020-06-29,82,58,0,3,,,4.51
Baltimore,2020-06-30,48,57,1,2,,,4.26
Baltimore,2020-07-01,59,56,1,2,,,4.08
Baltimore,2020-07-02,96,63,2,2,,,4.33
Baltimore,2020-07-03,88,70,2,2,,,4.43
Baltimore,2020-07-04,68,71,2,1,,,4.42
Baltimore,2020-07-05,40,69,0,1,,,4.3
Baltimore,2020-07-06,63,66,5,2,,,4.15
Baltimore,2020-07-07,40,65,2,2,,,4.17
Baltimore,2020-07-08,71,67,3,2,,,4.26
Baltimore,2020-07-09,84,65,2,2,,,4.25
Baltimore,2020-07-10,94,66,4,3,,,4.37
Baltimore,2020-07-11,118,73,1,2,,,4.67
Baltimore,2020-07-12,122,85,1,3,,,4.92
Baltimore,2020-07-13,77,87,1,2,,,5.14
Baltimore,2020-07-14,123,98,1,2,,,5.19
Baltimore,2020-07-15,146,109,2,2,,,5.21
Baltimore,2020-07-16,163,120,3,2,,,5.58
Baltimore,2020-07-17,143,127,1,1,,,5.33
Baltimore,2020-07-18,143,131,4,2,,,5.48
Baltimore,2020-07-19,144,134,4,2,,,5.01
Baltimore,2020-07-20,77,134,2,2,,,4.77
Baltimore,2020-07-21,139,136,5,3,,,4.9
Baltimore,2020-07-22,94,129,1,3,,,4.8
Baltimore,2020-07-23,104,121,2,3,,,4.55
Baltimore,2020-07-24,159,123,3,3,,,4.73
Baltimore,2020-07-25,209,132,2,3,,,4.43
Baltimore,2020-07-26,143,132,3,3,,,4.47
Baltimore,2020-07-27,226,153,1,2,,,4.95
Baltimore,2020-07-28,123,151,2,2,,,4.89
Baltimore,2020-07-29,124,155,1,2,,,5.04
Baltimore,2020-07-30,178,166,2,2,,,5.08
Baltimore,2020-07-31,188,170,1,2,,,5.15
Baltimore,2020-08-01,214,171,2,2,,,5.07
Baltimore,2020-08-02,171,175,4,2,,,5.37
Baltimore,2020-08-03,171,167,0,2,,,5.12
Baltimore,2020-08-04,96,163,3,2,,,5.11
Baltimore,2020-08-05,109,161,4,2,,,4.77
Baltimore,2020-08-06,122,153,1,2,,,4.71
Baltimore,2020-08-07,164,150,1,2,,,4.52
